Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"David Fry","CLE",122,392,14,44,51,4,0.107142857,0.214285714,0.185074627,0.307053941,0.262686567,0.356410256,0.447761194,0.34722092886662853,0.3255355123411188,129.28709488896973,-1.3472055345773697,11.788940525691906,-8.080777406692505,1.725623636787451,"David Fry",24934,681807
"Lars Nootbaar","STL",109,405,12,39,45,7,0.128395061,0.195061728,0.172413793,0.28076923,0.244252873,0.341584158,0.416666666,0.3307730666737058,0.35487745294523476,114.01751951507038,0.9840399399399757,7.77275338047694,-4.792474627494812,1.7063936672598294,"Lars Nootbaar",21454,663457
"David Hamilton","BOS",98,317,8,47,28,33,0.06940063,0.25236593,0.146258504,0.31553398,0.248299319,0.302839116,0.394557823,0.3048386513622777,0.2812241996500394,93.79371420129696,6.152647137641907,3.901537535279766,1.9729695916175842,1.6924735930685957,"David Hamilton",27531,666152
"Jose Trevino","NYY",74,234,8,26,28,1,0.085470085,0.175213675,0.138755981,0.228395061,0.215311004,0.287553648,0.354066985,0.28372043192130814,0.2666738452829516,84.75433116551952,-0.8968132734298706,-4.978765772489953,13.37394368648529,1.668516533639129,"Jose Trevino",16725,624431
"J.P. Crawford","SEA",105,451,9,55,37,5,0.115299334,0.226164079,0.119897959,0.24822695,0.201530612,0.303769401,0.321428571,0.2831537932355758,0.30908233710546007,89.86920720849832,1.378901720046997,-3.8489779385537553,4.68593567609787,1.6311750361749346,"J.P. Crawford",15491,641487
"Randal Grichuk","ARI",106,279,12,40,46,0,0.071684587,0.164874551,0.236220473,0.313131313,0.291338582,0.34767025,0.527559055,0.373031150269252,0.36419708251953126,139.3476487663011,0.6162576004862785,13.743825513118137,-7.685580492019653,1.5891598925633046,"Randal Grichuk",10243,545341
"Bo Naylor","CLE",123,389,13,39,39,6,0.074550128,0.313624678,0.149717514,0.262443438,0.200564971,0.263565891,0.350282485,0.2685594781075117,0.25968324735567166,73.95502402717699,-0.9562650918960571,-12.54882021928552,14.999721005558968,1.5855010321936502,"Bo Naylor",21865,666310
"Ryan Jeffers","MIN",122,465,21,56,64,3,0.068817204,0.202150537,0.206310679,0.237623762,0.225728155,0.299568965,0.432038834,0.316508739159025,0.30361395868761787,106.31295548880814,-0.7995779663324356,2.5592772773788623,-2.6319666653871536,1.5851806380694526,"Ryan Jeffers",24618,680777
"Spencer Steer","CIN",158,656,20,74,92,25,0.109756097,0.208841463,0.177700349,0.260143198,0.224738675,0.31859756,0.402439024,0.3164798483593773,0.3142231449051254,97.36684214091862,4.518739104270935,2.453159104628593,-9.083141967654228,1.580652625518041,"Spencer Steer",26323,668715
"Blake Perkins","MIL",121,434,6,54,43,23,0.096774193,0.248847926,0.091383812,0.312727272,0.240208877,0.315668202,0.331592689,0.28822558540119586,0.2750576098576429,84.33770895835562,2.4180935099720955,-5.710329635119111,6.438722848892212,1.5739705108117898,"Blake Perkins",19921,663368
"Kyle Higashioka","SDP",84,263,17,29,45,2,0.05703422,0.281368821,0.256097561,0.237179487,0.219512195,0.263358778,0.475609756,0.31389006608315095,0.2978777412239832,104.37456677982514,-1.1424297913908958,0.23336000290340575,6.114758491516113,1.563844142296592,"Kyle Higashioka",5517,543309
"Ryan O'Hearn","BAL",142,494,15,60,59,3,0.093117408,0.139676113,0.162528216,0.281767955,0.264108352,0.334008097,0.426636568,0.3300667288826733,0.35095752475217984,117.38030634551014,-0.335149809718132,9.48888705203544,-10.77728921175003,1.5589535017964338,"Ryan O'Hearn",16442,656811
"Michael Massey","KCR",100,356,14,45,45,1,0.042134831,0.15730337,0.189759036,0.270676691,0.259036144,0.29378531,0.44879518,0.3165411601323244,0.3090096708735393,103.70160388429026,0.49421948194503784,2.002025761099807,1.246996283531189,1.5548997245739675,"Michael Massey",27684,686681
"Jesús Sánchez","MIA",149,537,18,60,64,16,0.076350093,0.260707635,0.165644172,0.315315315,0.251533742,0.313432835,0.417177914,0.31695893931478153,0.3427497749041794,101.15169541319045,0.6612777858972549,1.400837434242216,-4.398715972900391,1.5448222568497376,"Jesus Sanchez",19913,660821
"Sal Frelick","MIL",145,524,2,66,32,18,0.07442748,0.148854961,0.075789474,0.305555555,0.258947368,0.319845857,0.334736842,0.29205405206808926,0.2786380612873247,86.91452945182206,3.264631971716881,-4.934765047118585,2.3020405769348145,1.537641295118474,"Sal Frelick",29622,686217
